"id","ticker","price","change_amount","change_percentage","volume","category","date_fetched"
159,HCTI,0.32,-0.1884,-37.0574%,828986,top_losers,2024-09-14 08:00:21.065
160,RVSNW,0.0451,-0.0249,-35.5714%,350,top_losers,2024-09-14 08:00:21.100
161,NVDA,119.1,-0.04,-0.0336%,236538118,most_actively_traded,2024-09-14 08:00:21.137
162,XXII,0.3422,0.0729,"27.0702%",182584608,most_actively_traded,2024-09-14 08:00:21.171
163,IMRX,2.02,0.59,"41.2587%",136186831,most_actively_traded,2024-09-14 08:00:21.204
164,SQQQ,8.17,-0.11,-1.3285%,127087959,most_actively_traded,2024-09-14 08:00:21.249
165,MULN,0.1322,-0.0348,-20.8383%,116176508,most_actively_traded,2024-09-14 08:00:21.288
166,ATPC,1.75,0.3,"20.6897%",80217072,most_actively_traded,2024-09-14 08:00:21.324
167,SOXL,33.44,1.63,"5.1242%",77456660,most_actively_traded,2024-09-14 08:00:21.350
168,NIO,5.53,0.25,"4.7348%",63894842,most_actively_traded,2024-09-14 08:00:21.380
169,TSLA,230.29,0.48,"0.2089%",59099214,most_actively_traded,2024-09-14 08:00:21.414
170,WBD,8.49,0.83,"10.8355%",57643497,most_actively_traded,2024-09-14 08:00:21.446
171,OPEN,2.27,0.08,"3.653%",57442173,most_actively_traded,2024-09-14 08:00:21.476
172,SOXS,23.27,-1.27,-5.1752%,53853804,most_actively_traded,2024-09-14 08:00:21.508
173,SMX,5.95,3.5,"142.8571%",49583555,most_actively_traded,2024-09-14 08:00:21.541
174,PLTR,35.59,0.68,"1.9479%",49355047,most_actively_traded,2024-09-14 08:00:21.576
175,SOFI,7.74,0.28,"3.7534%",44801175,most_actively_traded,2024-09-14 08:00:21.607
176,TSLL,10.91,0.02,"0.1837%",44323553,most_actively_traded,2024-09-14 08:00:21.636
177,TQQQ,67.35,0.87,"1.3087%",43506946,most_actively_traded,2024-09-14 08:00:21.669
178,INTC,19.66,0.3,"1.5496%",43481838,most_actively_traded,2024-09-14 08:00:21.697
179,SPXS,7.19,-0.1,-1.3717%,43408781,most_actively_traded,2024-09-14 08:00:21.724
180,SPY,561.95,2.86,"0.5115%",38342550,most_actively_traded,2024-09-14 08:00:21.757
181,SMXWW,0.019,0.0129,"211.4754%",312427,top_gainers,2024-09-15 08:01:36.623
